hidden_units,accuracy
1,0.17454999685287476
2,0.3037000000476837
3,0.3161500096321106
4,0.4222666621208191
5,0.4454500079154968
6,0.538100004196167
7,0.5941166877746582
8,0.6016666889190674
9,0.6424000263214111
10,0.660183310508728
11,0.6794833540916443
12,0.7212666869163513
13,0.7517833113670349
14,0.7491833567619324
15,0.7561166882514954
16,0.7676833271980286
17,0.7985666394233704
18,0.8126500248908997
19,0.8180333375930786
20,0.8277333378791809
21,0.8400499820709229
22,0.8437833189964294
23,0.8611000180244446
24,0.8634166717529297
25,0.8696333169937134
26,0.8652833104133606
27,0.879800021648407
28,0.8816499710083008
29,0.8916500210762024
30,0.8879666924476624
31,0.8969666957855225
32,0.8988666534423828
33,0.8998166918754578
34,0.8964833617210388
35,0.9066666960716248
36,0.9132833480834961
37,0.9143666625022888
38,0.9132000207901001
39,0.916100025177002
40,0.9213166832923889
41,0.9238166809082031
42,0.9233166575431824
43,0.9267833232879639
44,0.9291666746139526
45,0.9319499731063843
46,0.930899977684021
47,0.9313833117485046
48,0.9313333630561829
49,0.9377666711807251
50,0.9380666613578796
51,0.9360833168029785
52,0.9408166408538818
53,0.940933346748352
54,0.9421499967575073
55,0.9438666701316833
56,0.946483314037323
57,0.9453166723251343
58,0.945816695690155
59,0.9449666738510132
60,0.9470666646957397
61,0.9480999708175659
62,0.9486500024795532
63,0.9526000022888184
64,0.9498999714851379
65,0.9525333046913147
66,0.951533317565918
67,0.9520833492279053
68,0.9521333575248718
69,0.9552000164985657
70,0.9552333354949951
71,0.9567833542823792
72,0.9560666680335999
73,0.9585833549499512
74,0.9585833549499512
75,0.9582499861717224
76,0.9589499831199646
77,0.960183322429657
78,0.9607666730880737
79,0.9611166715621948
80,0.9613000154495239
81,0.9614666700363159
82,0.9622833132743835
83,0.9636833071708679
84,0.9626333117485046
85,0.9646166563034058
86,0.9642666578292847
87,0.9631833434104919
88,0.9652166962623596
89,0.9650166630744934
90,0.9642000198364258
91,0.9670166373252869
92,0.9669666886329651
93,0.9677833318710327
94,0.9663166403770447
95,0.9674500226974487
96,0.9679666757583618
97,0.9682833552360535
98,0.9690166711807251
99,0.9683499932289124
100,0.9688666462898254
101,0.9695666432380676
102,0.968916654586792
103,0.970633327960968
104,0.9699500203132629
105,0.9713500142097473
106,0.970216691493988
107,0.9702666401863098
108,0.9716333150863647
109,0.9726333618164062
110,0.9718999862670898
111,0.9718499779701233
112,0.972516655921936
113,0.9719499945640564
114,0.9732666611671448
115,0.97243332862854
116,0.9730333089828491
117,0.9750499725341797
118,0.9736833572387695
119,0.9741166830062866
120,0.9756500124931335
121,0.9743333458900452
122,0.9740666747093201
123,0.9738666415214539
124,0.976016640663147
125,0.9740833044052124
126,0.9755833148956299
127,0.9747166633605957
128,0.9768333435058594
129,0.9760000109672546
130,0.9764333367347717
131,0.9764000177383423
132,0.9766833186149597
133,0.9766833186149597
134,0.9767333269119263
135,0.9773666858673096
136,0.977400004863739
137,0.9777500033378601
138,0.9776333570480347
139,0.9768833518028259
140,0.977400004863739
141,0.9789666533470154
142,0.9787499904632568
143,0.9779999852180481
144,0.9786499738693237
145,0.9779999852180481
146,0.9781833291053772
147,0.9784833192825317
148,0.979283332824707
149,0.9782999753952026
150,0.9794166684150696
151,0.9793333411216736
152,0.9794166684150696
153,0.9797333478927612
154,0.9808666706085205
